Year,Region,Cases
2008,East North Central,2321
2008,East South Central,46
2008,Middle Atlantic,15097
2008,Mountain,65
2008,New England,11601
2008,Pacific,141
2008,South Atlantic,4331
2008,West North Central,1438
2008,West South Central,158
2009,East North Central,2969
2009,East South Central,41
2009,Middle Atlantic,16346
2009,Mountain,57
2009,New England,12440
2009,Pacific,178
2009,South Atlantic,4466
2009,West North Central,1693
2009,West South Central,278
2010,East North Central,3840
2010,East South Central,43
2010,Middle Atlantic,10942
2010,Mountain,28
2010,New England,8958
2010,Pacific,191
2010,South Atlantic,3910
2010,West North Central,2101
2010,West South Central,145
2011,East North Central,4094
2011,East South Central,69
2011,Middle Atlantic,14114
2011,Mountain,52
2011,New England,8602
2011,Pacific,160
2011,South Atlantic,3637
2011,West North Central,2291
2011,West South Central,78
2012,East North Central,2209
2012,East South Central,70
2012,Middle Atlantic,11607
2012,Mountain,44
2012,New England,11095
2012,Pacific,143
2012,South Atlantic,3842
2012,West North Central,1735
2012,West South Central,86
2013,East North Central,2580
2013,East South Central,89
2013,Middle Atlantic,14139
2013,Mountain,109
2013,New England,12892
2013,Pacific,187
2013,South Atlantic,3559
2013,West North Central,2667
2013,West South Central,85
2014,East North Central,1950
2014,East South Central,127
2014,Middle Atlantic,14509
2014,Mountain,59
2014,New England,11292
2014,Pacific,141
2014,South Atlantic,3678
2014,West North Central,1663
2014,West South Central,42
2015,East North Central,2621
2015,East South Central,104
2015,Middle Atlantic,18217
2015,Mountain,41
2015,New England,10109
2015,Pacific,162
2015,South Atlantic,4558
2015,West North Central,2200
2015,West South Central,57
2016,East North Central,3065
2016,East South Central,97
2016,Middle Atlantic,19675
2016,Mountain,83
2016,New England,5988
2016,Pacific,241
2016,South Atlantic,4736
2016,West North Central,2464
2016,West South Central,80
2017,East North Central,3976
2017,East South Central,109
2017,Middle Atlantic,22147
2017,Mountain,113
2017,New England,7916
2017,Pacific,276
2017,South Atlantic,5422
2017,West North Central,2707
2017,West South Central,77
2018,East North Central,2855
2018,East South Central,91
2018,Middle Atlantic,17846
2018,Mountain,69
2018,New England,6395
2018,Pacific,205
2018,South Atlantic,4230
2018,West North Central,1920
2018,West South Central,55
2019,East North Central,3642
2019,East South Central,137
2019,Middle Atlantic,16860
2019,Mountain,88
2019,New England,7152
2019,Pacific,255
2019,South Atlantic,4803
2019,West North Central,1941
2019,West South Central,67
2020,East North Central,2831
2020,East South Central,85
2020,Middle Atlantic,8140
2020,Mountain,29
2020,New England,3046
2020,Pacific,112
2020,South Atlantic,3402
2020,West North Central,330
2020,West South Central,25
2021,East North Central,4499
2021,East South Central,150
2021,Middle Atlantic,9424
2021,Mountain,61
2021,New England,3570
2021,Pacific,223
2021,South Atlantic,4286
2021,West North Central,2350
2021,West South Central,47
2022,Middle Atlantic,31108
2022,New England,14450
2022,South Atlantic,6870
2022,East North Central,6813
2022,West North Central,2898
2022,Pacific,168
2022,East South Central,139
2022,Mountain,75
2022,West South Central,30
