State,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,IR09,IR10,IR11,IR12,IR13,IR14,IR15,IR16,IR17,IR18,IR19,IR20,IR21,IR22,,
Alabama,0.2,0.1,0,0.5,0.5,0.5,1.3,0.5,0.8,0.8,0.7,1.3,0.3,1,0.6,-0.5,-1,#DIV/0!,0,0,1.6,-0.615384615,0.6,0,-0.125,0.857142857,-0.769230769,2.333333333,-0.4,,1
Alaska,0.9,1,1,1.5,1.4,1.9,1.1,1.2,2,1.3,1.5,0.4,0,0,1,0.111111111,0,0.5,-0.066666667,0.357142857,-0.421052632,0.090909091,0.666666667,-0.35,0.153846154,-0.733333333,-1,#DIV/0!,#DIV/0!,,
Arizona,0.1,0.1,0,0.2,0.2,0.5,0.3,0.2,0.2,0.4,0.1,0.1,0,0,0.1,0,-1,#DIV/0!,0,1.5,-0.4,-0.333333333,0,1,-0.75,0,-1,#DIV/0!,#DIV/0!,,
Arkansas,0,0,0,0,0,0,0,0,0.1,0.2,0.1,0.6,0.4,0.4,0.1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1,-0.5,5,-0.333333333,0,-0.75,,
California,0.2,0.3,0.3,0.2,0.2,0.3,0.2,0.3,0.3,0.4,0.3,0.4,0.1,0.3,0.2,0.5,0,-0.333333333,0,0.5,-0.333333333,0.5,0,0.333333333,-0.25,0.333333333,-0.75,2,-0.333333333,,
Colorado,0.1,0,0.1,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0.2,-1,#DIV/0!,-1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,-1,#DIV/0!,#DIV/0!,,
Connecticut,111.2,118.1,85.7,84.7,73.9,81.3,65.6,70.8,48.8,57.4,52,34.6,17.3,15,55.8,0.06205036,-0.274343776,-0.011668611,-0.127508855,0.100135318,-0.193111931,0.079268293,-0.310734463,0.176229508,-0.094076655,-0.334615385,-0.5,-0.132947977,2.72,,
Delaware,88.1,111.2,72.9,96.2,73.1,55.1,44.7,46.2,53.3,63.5,53.8,65.6,36,14,29.7,0.262202043,-0.34442446,0.319615912,-0.24012474,-0.24623803,-0.188747731,0.033557047,0.153679654,0.191369606,-0.152755906,0.219330855,-0.451219512,-0.611111111,1.121428571,,
District of Columbia,12.5,10.2,6.9,0,0,5.4,6,17.9,15,12.1,11.2,14.1,16.8,13.6,11.5,-0.184,-0.323529412,-1,#DIV/0!,#DIV/0!,0.111111111,1.983333333,-0.162011173,-0.193333333,-0.074380165,0.258928571,0.191489362,-0.19047619,-0.154411765,,
Florida,0.5,0.6,0.4,0.6,0.6,0.7,0.8,0.8,1,1,0.8,0.8,0.6,0.9,1.1,0.2,-0.333333333,0.5,0,0.166666667,0.142857143,0,0.25,0,-0.2,0,-0.25,0.5,0.222222222,,
Georgia,0.4,0.4,0.1,0.3,0.3,0.1,0,0.1,0,0.1,0.2,0.2,0.3,0.3,0.3,0,-0.75,2,0,-0.666666667,-1,#DIV/0!,-1,#DIV/0!,1,0,0.5,0,0,,
Hawaii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
Idaho,0.6,1,0.6,0.3,0.3,1.2,0.6,0.5,1,1.2,0.5,0.8,0.3,0.3,0.5,0.666666667,-0.4,-0.5,0,3,-0.5,-0.166666667,1,0.2,-0.583333333,0.6,-0.625,0,0.666666667,,
